Program-Year-Block,Course,Component,Day,Start,End,Room,Instructor
IT-3A,IT 116,IT 116_LEC_IT-3A,Tuesday,08:00,09:00,LEC-005,TBA
IT-3A,IT 116,IT 116_LAB_IT-3A,Friday,08:00,11:00,LAB-003,TBA
IT-3B,IT 116,IT 116_LEC_IT-3B,Friday,11:00,12:00,LAB-002,TBA
IT-3B,IT 116,IT 116_LEC_IT-3B,Monday,09:00,10:00,LEC-006,TBA
IT-3B,IT 116,IT 116_LAB_IT-3B,Thursday,14:00,17:00,LAB-004,TBA
IT-3C,IT 116,IT 116_LEC_IT-3C,Monday,13:30,14:30,LEC-011,TBA
IT-3C,IT 116,IT 116_LEC_IT-3C,Monday,08:00,09:00,LEC-010,TBA
IT-3C,IT 116,IT 116_LAB_IT-3C,Tuesday,08:00,11:00,LAB-006,TBA
IT-3A,IT 117,IT 117_LEC_IT-3A,Monday,10:30,11:30,LEC-003,TBA
IT-3A,IT 117,IT 117_LEC_IT-3A,Wednesday,08:00,09:00,LEC-005,TBA
IT-3A,IT 117,IT 117_LAB_IT-3A,Wednesday,14:00,17:00,LAB-003,TBA
IT-3B,IT 117,IT 117_LEC_IT-3B,Wednesday,11:00,12:00,LAB-006,TBA
IT-3B,IT 117,IT 117_LEC_IT-3B,Thursday,13:00,14:00,LAB-002,TBA
IT-3B,IT 117,IT 117_LAB_IT-3B,Tuesday,11:00,15:00,LAB-002,TBA
IT-3C,IT 117,IT 117_LEC_IT-3C,Monday,11:00,12:00,LAB-006,TBA
IT-3C,IT 117,IT 117_LEC_IT-3C,Friday,08:30,09:30,LEC-002,TBA
IT-3C,IT 117,IT 117_LAB_IT-3C,Thursday,13:30,16:30,LAB-006,TBA
IT-3A,IT 118,IT 118_LEC_IT-3A,Thursday,13:00,14:00,LEC-002,TBA
IT-3A,IT 118,IT 118_LEC_IT-3A,Thursday,14:00,15:00,LAB-002,TBA
IT-3A,IT 118,IT 118_LEC_IT-3A,Friday,13:00,14:00,LAB-002,TBA
IT-3B,IT 118,IT 118_LEC_IT-3B,Tuesday,16:00,17:00,LAB-001,TBA
IT-3B,IT 118,IT 118_LEC_IT-3B,Tuesday,15:00,16:00,LEC-005,TBA
IT-3B,IT 118,IT 118_LEC_IT-3B,Wednesday,09:00,10:00,LEC-011,TBA
IT-3C,IT 118,IT 118_LEC_IT-3C,Wednesday,10:30,11:30,LEC-008,TBA
IT-3C,IT 118,IT 118_LEC_IT-3C,Tuesday,15:30,16:30,LEC-002,TBA
IT-3C,IT 118,IT 118_LEC_IT-3C,Wednesday,09:30,10:30,LEC-010,TBA
IT-3A,IT 119,IT 119_LEC_IT-3A,Friday,16:00,17:00,LEC-002,TBA
IT-3A,IT 119,IT 119_LEC_IT-3A,Thursday,15:30,16:30,LEC-009,TBA
IT-3A,IT 119,IT 119_LEC_IT-3A,Wednesday,09:00,10:00,LEC-001,TBA
IT-3B,IT 119,IT 119_LEC_IT-3B,Monday,10:00,11:00,LEC-011,TBA
IT-3B,IT 119,IT 119_LEC_IT-3B,Thursday,11:00,12:00,LEC-003,TBA
IT-3B,IT 119,IT 119_LEC_IT-3B,Friday,08:00,09:00,LEC-003,TBA
IT-3C,IT 119,IT 119_LEC_IT-3C,Wednesday,08:00,09:00,LEC-001,TBA
IT-3C,IT 119,IT 119_LEC_IT-3C,Tuesday,11:00,12:00,LEC-002,TBA
IT-3C,IT 119,IT 119_LEC_IT-3C,Tuesday,14:30,15:30,LEC-002,TBA
IT-3A,GEC 9,GEC 9_LEC_IT-3A,Wednesday,13:00,14:00,LAB-003,TBA
IT-3A,GEC 9,GEC 9_LEC_IT-3A,Friday,14:00,15:00,LEC-002,TBA
IT-3A,GEC 9,GEC 9_LEC_IT-3A,Thursday,08:00,09:00,LEC-007,TBA
IT-3B,GEC 9,GEC 9_LEC_IT-3B,Monday,13:00,14:00,LEC-003,TBA
IT-3B,GEC 9,GEC 9_LEC_IT-3B,Wednesday,14:00,15:00,LEC-006,TBA
IT-3B,GEC 9,GEC 9_LEC_IT-3B,Wednesday,16:00,17:00,LEC-005,TBA
IT-3C,GEC 9,GEC 9_LEC_IT-3C,Monday,15:30,16:30,LEC-009,TBA
IT-3C,GEC 9,GEC 9_LEC_IT-3C,Tuesday,13:30,14:30,LEC-005,TBA
IT-3C,GEC 9,GEC 9_LEC_IT-3C,Wednesday,16:00,17:00,LEC-003,TBA
IT-4A,IT 124,IT 124_LEC_IT-4A,Thursday,15:00,16:00,LAB-002,TBA
IT-4A,IT 124,IT 124_LEC_IT-4A,Tuesday,09:00,10:00,LEC-004,TBA
IT-4A,IT 124,IT 124_LEC_IT-4A,Thursday,13:00,14:00,LAB-004,TBA
IT-4B,IT 124,IT 124_LEC_IT-4B,Monday,09:30,10:30,LEC-002,TBA
IT-4B,IT 124,IT 124_LEC_IT-4B,Monday,08:00,09:00,LEC-005,TBA
IT-4B,IT 124,IT 124_LEC_IT-4B,Monday,15:30,16:30,LEC-003,TBA
IT-4A,IT 125,IT 125_LEC_IT-4A,Thursday,08:00,09:00,LAB-001,TBA
IT-4A,IT 125,IT 125_LEC_IT-4A,Wednesday,15:30,16:30,LEC-010,TBA
IT-4A,IT 125,IT 125_LAB_IT-4A,Monday,14:00,17:00,LAB-002,TBA
IT-4B,IT 125,IT 125_LEC_IT-4B,Thursday,16:00,17:00,LEC-002,TBA
IT-4B,IT 125,IT 125_LEC_IT-4B,Monday,11:00,12:00,LEC-008,TBA
IT-4B,IT 125,IT 125_LAB_IT-4B,Friday,09:00,12:00,LAB-006,TBA
IT-4A,IT 126,IT 126_LEC_IT-4A,Tuesday,16:00,17:00,LEC-001,TBA
IT-4A,IT 126,IT 126_LEC_IT-4A,Friday,13:00,14:00,LEC-001,TBA
IT-4A,IT 126,IT 126_LEC_IT-4A,Friday,11:00,12:00,LAB-004,TBA
IT-4B,IT 126,IT 126_LEC_IT-4B,Friday,14:00,15:00,LEC-003,TBA
IT-4B,IT 126,IT 126_LEC_IT-4B,Wednesday,16:00,17:00,LEC-002,TBA
IT-4B,IT 126,IT 126_LEC_IT-4B,Friday,15:00,16:00,LEC-004,TBA
IT-4A,IT 127,IT 127_LEC_IT-4A,Thursday,11:00,12:00,LEC-005,TBA
IT-4A,IT 127,IT 127_LEC_IT-4A,Friday,10:00,11:00,LEC-001,TBA
IT-4A,IT 127,IT 127_LEC_IT-4A,Thursday,14:00,15:00,LEC-004,TBA
IT-4B,IT 127,IT 127_LEC_IT-4B,Wednesday,11:00,12:00,LAB-004,TBA
IT-4B,IT 127,IT 127_LEC_IT-4B,Friday,16:00,17:00,LEC-003,TBA
IT-4B,IT 127,IT 127_LEC_IT-4B,Tuesday,14:00,15:00,LEC-004,TBA
IT-4A,ITELECT 003,ITELECT 003_LEC_IT-4A,Wednesday,14:00,15:00,LEC-003,TBA
IT-4A,ITELECT 003,ITELECT 003_LEC_IT-4A,Tuesday,15:00,16:00,LEC-004,TBA
IT-4A,ITELECT 003,ITELECT 003_LAB_IT-4A,Wednesday,10:00,14:00,LAB-005,TBA
IT-4B,ITELECT 003,ITELECT 003_LEC_IT-4B,Monday,13:00,14:00,LAB-001,TBA
IT-4B,ITELECT 003,ITELECT 003_LEC_IT-4B,Wednesday,15:00,16:00,LEC-011,TBA
IT-4B,ITELECT 003,ITELECT 003_LAB_IT-4B,Thursday,13:00,16:00,LAB-003,TBA
IT-4A,ITELECT 004,ITELECT 004_LEC_IT-4A,Monday,09:00,10:00,LEC-001,TBA
IT-4A,ITELECT 004,ITELECT 004_LEC_IT-4A,Wednesday,08:00,09:00,LEC-004,TBA
IT-4A,ITELECT 004,ITELECT 004_LEC_IT-4A,Friday,14:00,15:00,LEC-006,TBA
IT-4B,ITELECT 004,ITELECT 004_LEC_IT-4B,Wednesday,08:30,09:30,LAB-001,TBA
IT-4B,ITELECT 004,ITELECT 004_LEC_IT-4B,Thursday,11:00,12:00,LAB-002,TBA
IT-4B,ITELECT 004,ITELECT 004_LEC_IT-4B,Thursday,08:30,09:30,LEC-002,TBA
IS-1A,IS 100,IS 100_LEC_IS-1A,Wednesday,08:00,09:00,LEC-002,TBA
IS-1A,IS 100,IS 100_LEC_IS-1A,Friday,13:00,14:00,LEC-008,TBA
IS-1A,IS 100,IS 100_LAB_IS-1A,Tuesday,08:00,11:00,LAB-003,TBA
IS-1B,IS 100,IS 100_LEC_IS-1B,Friday,11:00,12:00,LEC-008,TBA
IS-1B,IS 100,IS 100_LEC_IS-1B,Tuesday,15:00,16:00,LAB-003,TBA
IS-1B,IS 100,IS 100_LAB_IS-1B,Tuesday,08:00,11:00,LAB-004,TBA
IS-1A,IS 101,IS 101_LEC_IS-1A,Tuesday,15:00,16:00,LAB-002,TBA
IS-1A,IS 101,IS 101_LEC_IS-1A,Tuesday,16:00,17:00,LAB-002,TBA
IS-1A,IS 101,IS 101_LEC_IS-1A,Friday,08:00,09:00,LEC-001,TBA
IS-1B,IS 101,IS 101_LEC_IS-1B,Monday,10:00,11:00,LEC-004,TBA
IS-1B,IS 101,IS 101_LEC_IS-1B,Friday,13:00,14:00,LEC-005,TBA
IS-1B,IS 101,IS 101_LEC_IS-1B,Monday,16:00,17:00,LEC-006,TBA
IS-1A,GEC 1,GEC 1_LEC_IS-1A,Monday,13:00,14:00,LAB-002,TBA
IS-1A,GEC 1,GEC 1_LEC_IS-1A,Thursday,11:30,13:30,LEC-011,TBA
IS-1A,GEC 1,GEC 1_LEC_IS-1A,Wednesday,14:00,15:00,LEC-004,TBA
IS-1B,GEC 1,GEC 1_LEC_IS-1B,Wednesday,15:30,16:30,LEC-008,TBA
IS-1B,GEC 1,GEC 1_LEC_IS-1B,Wednesday,08:00,09:00,LAB-005,TBA
IS-1B,GEC 1,GEC 1_LEC_IS-1B,Wednesday,14:00,15:00,LEC-001,TBA
IS-1A,GEC 2,GEC 2_LEC_IS-1A,Wednesday,15:00,16:00,LEC-001,TBA
IS-1A,GEC 2,GEC 2_LEC_IS-1A,Thursday,10:00,11:00,LEC-005,TBA
IS-1A,GEC 2,GEC 2_LEC_IS-1A,Friday,10:00,11:00,LAB-005,TBA
IS-1B,GEC 2,GEC 2_LEC_IS-1B,Thursday,13:00,14:00,LEC-010,TBA
IS-1B,GEC 2,GEC 2_LEC_IS-1B,Wednesday,11:00,12:00,LEC-003,TBA
IS-1B,GEC 2,GEC 2_LEC_IS-1B,Thursday,10:00,11:00,LEC-003,TBA
IS-1A,GEC 3,GEC 3_LEC_IS-1A,Thursday,14:00,15:00,LEC-003,TBA
IS-1A,GEC 3,GEC 3_LEC_IS-1A,Friday,15:00,16:00,LEC-001,TBA
IS-1A,GEC 3,GEC 3_LEC_IS-1A,Tuesday,14:00,15:00,LEC-003,TBA
IS-1B,GEC 3,GEC 3_LEC_IS-1B,Monday,15:00,16:00,LEC-007,TBA
IS-1B,GEC 3,GEC 3_LEC_IS-1B,Thursday,09:00,10:00,LEC-003,TBA
IS-1B,GEC 3,GEC 3_LEC_IS-1B,Tuesday,14:00,15:00,LEC-007,TBA
IS-1A,PathFit 1,PathFit 1_LEC_IS-1A,Monday,08:00,09:00,LEC-009,TBA
IS-1A,PathFit 1,PathFit 1_LEC_IS-1A,Monday,15:00,16:00,LEC-006,TBA
IS-1B,PathFit 1,PathFit 1_LEC_IS-1B,Friday,14:00,15:00,LEC-004,TBA
IS-1B,PathFit 1,PathFit 1_LEC_IS-1B,Tuesday,11:00,12:00,LEC-005,TBA
IS-1A,NSTP 1,NSTP 1_LEC_IS-1A,Thursday,15:00,16:00,LEC-004,TBA
IS-1A,NSTP 1,NSTP 1_LEC_IS-1A,Tuesday,11:00,12:00,LEC-001,TBA
IS-1A,NSTP 1,NSTP 1_LEC_IS-1A,Wednesday,10:00,11:00,LEC-004,TBA
IS-1B,NSTP 1,NSTP 1_LEC_IS-1B,Wednesday,09:00,10:00,LEC-003,TBA
IS-1B,NSTP 1,NSTP 1_LEC_IS-1B,Friday,15:00,16:00,LEC-007,TBA
IS-1B,NSTP 1,NSTP 1_LEC_IS-1B,Thursday,08:00,09:00,LEC-006,TBA
IS-2A,IS 201,IS 201_LEC_IS-2A,Monday,11:00,12:00,LEC-002,TBA
IS-2A,IS 201,IS 201_LEC_IS-2A,Thursday,16:00,17:00,LEC-003,TBA
IS-2A,IS 201,IS 201_LAB_IS-2A,Monday,08:00,11:00,LAB-003,TBA
IS-2B,IS 201,IS 201_LEC_IS-2B,Monday,15:00,16:00,LEC-005,TBA
IS-2B,IS 201,IS 201_LEC_IS-2B,Wednesday,10:00,11:00,LEC-005,TBA
